"Indicador","Fuente"," ISO Alfa3","ISO  N","Codigo","País","Año","Valor","Unidad"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","1991","1811.49","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","1991","651.9","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","1991","","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","1991","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","1991","0","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","1991","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","1991","","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","1991","","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","1991","2463.39","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","1992","1819.8","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","1992","982.2","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","1992","","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","1992","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","1992","0","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","1992","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","1992","","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","1992","","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","1992","2802","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","1993","1941.27","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","1993","1109.36","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","1993","","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","1993","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","1993","0","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","1993","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","1993","","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","1993","","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","1993","3050.63","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","1994","1604.71","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","1994","1652.13","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","1994","","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","1994","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","1994","0","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","1994","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","1994","","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","1994","","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","1994","3256.84","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","1995","1911.62","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","1995","1600.14","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","1995","","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","1995","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","1995","0","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","1995","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","1995","","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","1995","","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","1995","3511.76","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","1996","2309.6","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","1996","1493.5","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","1996","","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","1996","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","1996","0","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","1996","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","1996","","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","1996","","GWh"
"Generación eléctrica por fuente","Total","","","Subregión","América Central","1996","3803.1","GWh"
"Generación eléctrica por fuente","Hidro","","","Subregión","América Central","1997","2110.6","GWh"
"Generación eléctrica por fuente","Térmica no renovable","","","Subregión","América Central","1997","2167.83","GWh"
"Generación eléctrica por fuente","Nuclear","","","Subregión","América Central","1997","","GWh"
"Generación eléctrica por fuente","Geotermia","","","Subregión","América Central","1997","0","GWh"
"Generación eléctrica por fuente","Eólica","","","Subregión","América Central","1997","0","GWh"
"Generación eléctrica por fuente","Solar","","","Subregión","América Central","1997","0","GWh"
"Generación eléctrica por fuente","Otros","","","Subregión","América Central","1997","","GWh"
"Generación eléctrica por fuente","Térmica renovable","","","Subregión","América Central","1997","","GWh"
