"Indicador","Fuente","País","Año","Valor","Unidad"
"Capacidad instalada por fuente","Hidro","América Central","1991","435","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","1991","232","MW"
"Capacidad instalada por fuente","Nuclear","América Central","1991","","MW"
"Capacidad instalada por fuente","Geotermia","América Central","1991","0","MW"
"Capacidad instalada por fuente","Eólica","América Central","1991","0","MW"
"Capacidad instalada por fuente","Solar","América Central","1991","0","MW"
"Capacidad instalada por fuente","Otros","América Central","1991","","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","1991","0","MW"
"Capacidad instalada por fuente","Total","América Central","1991","667","MW"
"Capacidad instalada por fuente","Hidro","América Central","1992","435","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","1992","232","MW"
"Capacidad instalada por fuente","Nuclear","América Central","1992","","MW"
"Capacidad instalada por fuente","Geotermia","América Central","1992","0","MW"
"Capacidad instalada por fuente","Eólica","América Central","1992","0","MW"
"Capacidad instalada por fuente","Solar","América Central","1992","0","MW"
"Capacidad instalada por fuente","Otros","América Central","1992","","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","1992","4.1","MW"
"Capacidad instalada por fuente","Total","América Central","1992","671.1","MW"
"Capacidad instalada por fuente","Hidro","América Central","1993","437.9","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","1993","271.8","MW"
"Capacidad instalada por fuente","Nuclear","América Central","1993","","MW"
"Capacidad instalada por fuente","Geotermia","América Central","1993","0","MW"
"Capacidad instalada por fuente","Eólica","América Central","1993","0","MW"
"Capacidad instalada por fuente","Solar","América Central","1993","0","MW"
"Capacidad instalada por fuente","Otros","América Central","1993","","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","1993","18","MW"
"Capacidad instalada por fuente","Total","América Central","1993","727.7","MW"
"Capacidad instalada por fuente","Hidro","América Central","1994","437.9","MW"
"Capacidad instalada por fuente","Térmica no renovable","América Central","1994","319.7","MW"
"Capacidad instalada por fuente","Nuclear","América Central","1994","","MW"
"Capacidad instalada por fuente","Geotermia","América Central","1994","0","MW"
"Capacidad instalada por fuente","Eólica","América Central","1994","0","MW"
"Capacidad instalada por fuente","Solar","América Central","1994","0","MW"
"Capacidad instalada por fuente","Otros","América Central","1994","","MW"
"Capacidad instalada por fuente","Térmica renovable","América Central","1994","18","MW"
"Capacidad instalada por fuente","Total","América Central","1994","775.6","MW"
