"Indicador","Sector","ISO Alfa3","ISO N","Código","País","Año","Valor","Unidad"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1970","12","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1971","12","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1972","12","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1973","11","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1974","10","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1975","9","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1976","11","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1977","11","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1978","9","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1979","11","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1980","8","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1981","12","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1982","7","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1983","12","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1984","10","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1985","105","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1986","93","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1987","95","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1988","82","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1989","75","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1990","76","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1991","70","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1992","29","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1993","16","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1994","17","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1995","12","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1996","12","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1997","93","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1998","99","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","1999","101","GWh"
